chr	start	end	TargetGene	CellType	enformer_norm_score
chr1	3774714	3775214	CEP104	K562	3564.3853572798484
chr1	3774714	3775214	LRRC47	K562	10499.692185830805
chr1	3803570	3805848	LRRC47	K562	6342.857600945554
chr1	3774714	3775214	SMIM1	K562	54783.25502229027
chr1	3803570	3805848	SMIM1	K562	6180.569933974909
chr1	4126791	4127291	SMIM1	K562	
chr1	5304578	5305078	RPL22	K562	
chr1	8197448	8198244	PARK7	K562	
chr1	8899850	8900350	PARK7	K562	
chr1	8858063	8858563	ENO1	K562	4317.815907587883
chr1	9145155	9145655	ENO1	K562	
chr1	10387486	10388537	DFFA	K562	1655.190337243283
chr1	11881944	11882444	MAD2L2	K562	0.0
chr1	11882562	11883554	MAD2L2	K562	0.0
chr1	12014145	12015413	MAD2L2	K562	
chr1	11882562	11883554	AGTRAP	K562	0.0
chr1	11882562	11883554	TARDBP	K562	
chr1	12014145	12015413	SRM	K562	
chr1	17441310	17441810	SDHB	K562	
chr1	17487740	17488240	RP4-798A10.7	K562	
chr1	18534347	18534847	AKR7A2	K562	
chr1	20197442	20197942	AKR7A2	K562	
chr1	18534347	18534847	CAPZB	K562	
chr1	19869923	19870423	CAPZB	K562	
chr1	19487638	19488138	MRTO4	K562	
chr1	20197442	20197942	MRTO4	K562	
chr1	20216567	20217067	MRTO4	K562	
chr1	20216567	20217067	HP1BP3	K562	
chr1	20216567	20217067	MINOS1	K562	
chr1	21673110	21673610	CDC42	K562	
chr1	21791423	21792482	CDC42	K562	
chr1	21963904	21964404	CDC42	K562	505.13135728390967
chr1	21963904	21964404	USP48	K562	0.0
chr1	23539621	23540248	GALE	K562	
chr1	23920093	23921311	GALE	K562	0.0
chr1	23539621	23540248	RPL11	K562	0.0
chr1	23554642	23555320	RPL11	K562	0.0
chr1	23562302	23562802	RPL11	K562	0.0
chr1	23716065	23716565	RPL11	K562	1804.4176679297602
chr1	23920093	23921311	RPL11	K562	
chr1	23716065	23716565	HNRNPR	K562	
chr1	23920093	23921311	HNRNPR	K562	
chr1	23920093	23921311	ELOA	K562	0.0
chr1	23920093	23921311	PITHD1	K562	0.0
chr1	23920093	23921311	SRRM1	K562	
chr1	24742119	24742619	TMEM50A	K562	
chr1	25933351	25933954	TMEM50A	K562	
chr1	26138425	26139455	TMEM50A	K562	
chr1	25933351	25933954	ARID1A	K562	
chr1	25933351	25933954	HMGN2	K562	
chr1	26104576	26105524	HMGN2	K562	
chr1	26138425	26139455	HMGN2	K562	
chr1	26376717	26377217	HMGN2	K562	813.5592061980984
chr1	26377523	26378866	HMGN2	K562	2885.9192784649235
chr1	26500769	26501550	HMGN2	K562	9598.105370512394
chr1	26783944	26784444	HMGN2	K562	
chr1	27026948	27028368	HMGN2	K562	
chr1	25933351	25933954	MTFR1L	K562	0.0
chr1	26508328	26508828	MTFR1L	K562	
chr1	25933351	25933954	NUDC	K562	
chr1	26104576	26105524	NUDC	K562	
chr1	26138425	26139455	NUDC	K562	
chr1	26377523	26378866	NUDC	K562	
chr1	26584065	26584565	NUDC	K562	
chr1	26636453	26637096	NUDC	K562	
chr1	26686869	26687369	NUDC	K562	
chr1	26783944	26784444	NUDC	K562	0.0
chr1	27026948	27028368	NUDC	K562	0.0
chr1	27523007	27523999	NUDC	K562	
chr1	25933351	25933954	SH3BGRL3	K562	
chr1	26377523	26378866	SH3BGRL3	K562	36.87586073974487
chr1	26584065	26584565	SH3BGRL3	K562	
chr1	27026948	27028368	SH3BGRL3	K562	
chr1	25933351	25933954	STMN1	K562	5959.72455157092
chr1	26104576	26105524	STMN1	K562	
chr1	26138425	26139455	STMN1	K562	
chr1	26376717	26377217	STMN1	K562	
chr1	26377523	26378866	STMN1	K562	
chr1	26508328	26508828	STMN1	K562	
chr1	26584065	26584565	STMN1	K562	
chr1	26619808	26621780	STMN1	K562	
chr1	26636453	26637096	STMN1	K562	
chr1	25933351	25933954	ZNF593	K562	
chr1	26104576	26105524	ZNF593	K562	841.497928365079
chr1	26376717	26377217	ZNF593	K562	
chr1	26377523	26378866	ZNF593	K562	
chr1	26500769	26501550	ZNF593	K562	
chr1	27026948	27028368	ZNF593	K562	
chr1	27074115	27074615	ZNF593	K562	
chr1	26377523	26378866	LIN28A	K562	16947.12353018684
chr1	26500769	26501550	WASF2	K562	
chr1	26508328	26508828	WASF2	K562	
chr1	26584065	26584565	WASF2	K562	
